"","Constituent","n","mean","min","max","sd","median","q1","q3"
"1","solids",123,31.23,0.26,248.53,58.02,6.49,3.87,31.5
"2","xos",123,23.79,0,194.05,46.74,2.98,2.14,24.81
"3","xylose_free",123,0.39,0,1.32,0.31,0.31,0.18,0.59
