"","groupingType","Constituent","n","mean","min","max","sd","median","q1","q3"
"1","early","solids",60,5.78,2.9,10.35,1.9,5.74,4.21,6.8
"2","early","xos",60,2.87,1.59,5.35,0.85,2.7,2.3,3.14
"3","early","xylose_free",60,0.46,0.06,1.02,0.27,0.34,0.27,0.67
"4","waste","solids",22,1.77,0.26,3.69,0.94,1.57,1.22,2.07
"5","waste","xos",22,0.64,0,2.61,0.71,0.39,0.19,0.72
"6","waste","xylose_free",22,0.33,0,0.79,0.22,0.29,0.15,0.48
"7","late","solids",41,84.28,11.8,248.53,77,51,31.77,87.03
"8","late","xos",41,66.85,9.76,194.05,61.73,40.01,25.03,65.89
"9","late","xylose_free",41,0.32,0,1.32,0.38,0.17,0.05,0.38
