"","Constituent","n","mean","min","max","sd","median","q1","q3"
"1","arabinose_free",123,0.4,0,2.2,0.4,0.3,0.2,0.4
"2","arabinose_tot",123,1.1,0,9.5,1.7,0.5,0.3,1
"3","galactose_free",123,0.1,0,0.6,0.1,0,0,0.1
"4","galactose_tot",123,0.8,0,7.1,1.6,0.2,0.1,0.8
"5","glucose_free",123,0,0,0,0,0,0,0
"6","glucose_tot",123,2.3,0,27,4.6,0.3,0.2,2.7
